127.0.0.1 - - [20/Nov/2022:09:34:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2022:09:34:28 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [20/Nov/2022:09:34:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Nov/2022:09:39:18 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [20/Nov/2022:09:39:42 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:04:24 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:05:08 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:06:01 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:06:47 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:25:49 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:26:11 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:27:00 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:27:36 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:28:07 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [20/Nov/2022:10:28:47 +0530] "GET /JSTLDemo/index.jsp HTTP/1.1" 200 678
